id;count
1;130
1012070;53
1012128;59
1012196;61
1012268;56
1012366;78
1012449;36
1012488;43
1012533;89
1012624;38
1012668;46
1012719;68
1012794;76
1012878;63
1012947;89
1013085;43
1013160;45
1013212;54
1013283;38
1013322;37
1013366;63
1013433;76
1013554;66
1013621;83
1013709;76
1013792;132
1013941;51
1014046;73
1014123;51
1014175;48
1014227;68
1014297;42
1014342;52
1014485;62
1014550;109
1014662;84
1014750;67
1014818;110
1014942;63
1015;121
1015039;50
1015095;62
1015160;53
1015215;105
1015329;78
1015410;44
1015455;73
1015532;101
1015642;47
1015692;51
1015747;58
1015807;30
1015889;62
1015956;112
1016161;86
1016248;51
1016307;41
1016477;71
1016555;84
1016647;63
1016717;70
1016790;77
1016870;49
1016924;55
1016980;56
1017037;50
1017090;77
1017170;29
10172;137
1017200;49
1017253;40
1017295;34
1017335;43
1017382;55
1017510;68
1017584;79
1017666;61
1017729;64
1017798;75
1017936;60
1017998;68
1018075;96
1018182;28
1018213;60
1018280;41
1018324;65
1018401;64
1018475;58
1018535;32
1018572;47
1018623;61
1018754;65
1018889;57
1018947;75
1019025;73
1019104;47
1019154;21
1019176;76
1019254;52
1019307;47
1019393;65
1019464;114
1019654;59
1019778;37
1019817;74
1019898;56
1019959;68
1020035;71
1020110;56
1020169;57
1020232;41
1020276;45
1020328;112
1020531;41
1020576;75
1020660;50
1020711;103
1020819;95
1020969;74
1021055;44
1021103;28
1021222;34
1021259;82
1021410;53
1021470;39
1021583;50
1021699;74
1021833;58
1021893;64
1022002;74
1022078;50
1022130;62
1022208;77
1022293;86
1022385;21
1022407;35
1022451;43
1022495;120
1022618;55
1022679;50
1022735;40
1022778;76
1022862;61
1022931;64
1022999;28
1023030;48
1023079;59
1023139;78
1023218;54
1023275;70
1023346;51
1023405;60
1023471;43
1023515;39
1023555;34
1023590;56
1023649;45
1023696;58
1023758;87
1023888;61
1023955;67
1024029;91
1024128;64
1024194;37
1024233;70
1024306;58
1024372;29
1024402;69
1024483;64
1024585;48
1024638;32
1024674;79
1024757;66
1024839;81
1024923;39
1024963;60
1025027;72
1025103;56
1025167;114
1025294;50
1025347;78
1025433;79
1025619;38
1025664;59
1025725;62
1025791;54
1025856;110
1025973;27
1026007;60
1026072;67
1026146;44
1026193;90
1026284;33
1026322;85
1026444;83
1026534;70
1026605;78
1026760;81
1026845;59
1026909;45
1026960;42
1027005;59
1027112;41
1027154;43
1027205;55
1027263;48
1027380;34
1027458;22
1027483;62
1027548;66
1027618;59
1027681;76
1027790;56
1027847;44
1027905;60
1027974;41
1028024;25
1028053;26
1028083;53
1028141;54
1028197;33
1028266;59
1028332;39
1028372;46
1028426;88
1028520;38
1028562;49
1028613;51
1028725;69
1028800;50
1028852;63
1028918;38
1029029;82
1029113;75
1029200;61
1029343;34
1029381;41
1029423;56
1029485;96
1029587;83
1029734;53
1029827;48
1029881;79
1029966;59
1030031;58
1030104;83
1030189;43
1030234;41
1030279;34
1030315;67
1030392;44
1030440;63
1030504;46
1030558;53
1030617;112
1030736;64
1030804;88
1030896;36
1030935;42
1030980;41
1031023;69
1031093;66
1031181;31
1031215;64
1031330;40
1031374;43
1031418;51
1031474;63
1031538;29
1031570;76
1031649;48
1031707;82
1031790;45
1031838;190
10319;192
1032035;59
1032101;46
1032158;37
1032198;53
1032254;33
1032289;67
1032358;60
1032424;62
1032489;59
1032556;53
1032610;93
1032704;62
1032767;58
1032829;42
1032873;59
1032937;72
1033060;76
1033144;132
1033289;50
1033384;31
1033416;72
1033489;52
1033544;36
1033582;54
1033640;60
1033706;56
1049816;545
1050362;349
1050712;710
1051423;44
1051468;366
10517;1
1051835;413
10519;134
1052249;430
1052680;192
1052873;204
1053078;524
1053603;339
1053943;301
1054245;203
1054449;184
1054635;323
1054959;200
1055160;300
1055461;191
1055653;259
1055913;323
1056237;169
1056407;255
1056663;227
1056891;395
1057287;363
1057651;225
1057877;483
1058361;224
1058586;343
1058930;51
1058982;357
1059340;418
1059759;31
1059791;244
1060036;301
1060338;199
1060538;283
1060822;664
1061487;241
1061731;547
1062279;569
1062849;238
1063088;296
1063385;277
1063664;383
1064048;256
1064305;356
1064662;271
1064934;105
1065040;530
1065571;459
1066031;446
10665;190
1066638;220
1066859;202
1067062;628
1067693;303
1067997;227
1068225;492
1068718;378
1069097;576
1069674;237
1069912;295
1070208;240
1070449;50
1070500;271
1070773;160
1070934;184
1071119;402
1071522;339
1071862;507
1072370;190
1072561;591
1073154;505
1073660;355
1074016;344
1074361;126
1074488;618
1075107;304
1075413;655
1076069;362
1076433;222
1076656;156
1076813;792
1077607;445
1078053;493
1078547;274
1078822;252
1079075;277
1079353;277
1079631;520
1080153;312
1080466;308
1080775;586
1081362;305
1081668;248
1081917;145
1082063;476
1082540;228
1082769;221
1082991;562
1083554;297
1083852;287
1084140;295
1084436;410
1084847;559
1085407;256
1085664;233
10857;236
1085898;622
1086521;285
1086807;376
1087184;393
1087578;502
1088081;216
1088298;254
1088553;364
1088918;505
1089425;317
1089743;108
1089852;343
1090196;258
1090455;452
1090908;290
1091199;232
1091432;459
1091892;593
1092487;422
1092910;247
1093158;168
1093327;194
1093522;455
1093978;256
1094235;207
1094443;767
1095211;591
1095803;242
1096046;208
1096255;481
1096738;332
1097072;365
1097438;608
1098047;242
1098290;314
1098605;251
1098857;481
1099339;572
1099912;458
1100371;371
1100743;420
1101164;426
1101591;585
1102177;228
1102406;152
1102559;217
1102777;535
1103313;251
1103565;558
1104125;345
1104471;512
1104985;572
1105558;477
1106036;247
1106284;675
1106960;508
1107469;341
1107811;265
1108077;666
1108744;217
1108962;291
1109254;382
11096;219
1109637;59
1109697;353
1110051;314
1110366;330
1110697;541
1111239;393
1111633;284
1111918;513
1112432;294
1112727;467
1113195;525
1113722;405
1114128;520
1114649;495
1115145;323
1115469;422
1115892;305
1116198;378
1116577;336
1116914;496
1117411;364
1117777;348
1118126;319
1118446;298
1118745;331
1119077;458
1119536;432
1119969;264
1120234;454
1120689;446
1121136;361
1121498;420
1121919;167
1122087;446
1122534;495
1123030;628
1123659;609
1124269;390
1124660;182
1124843;358
1125202;286
1125489;321
1125811;259
1126071;172
1126244;305
1126552;175
1126728;537
1127266;283
1127550;22
1127573;514
1128088;252
1128341;633
1128975;479
1129455;289
1129745;380
1130126;523
1130650;394
1131045;297
1131343;440
1131784;670
11322;165
1132455;993
1133449;551
1134001;476
1134478;425
1134904;315
1135220;252
1135473;406
